State,Population,AreaInSqKm,DensityPerSqKm
Uttar Pradesh,199812341,240928,828
Maharashtra,112372972,307713,365
Bihar,103804637,94163,1102
Madhya Pradesh,91347736,88752,1029
Madhya Pradesh,72597565,308245,236
Tamil Nadu,72138958,130058,555
Rajasthan,68621012,342239,201
Karnataka,61130704,191791,319
Gujarat,60383628,196024,308
Bihar,49386799,162968,303
Odisha,41947358,155707,269
Telangana,35286757,114840,307
Kerala,33387677,38863,859
Maharashtra,32966238,79714,414
Madhya Pradesh,31169272,78438,397
Punjab,27704236,50362,550
Maharashtra,25540196,135191,189
Madhya Pradesh,25353081,44212,573
